,bid,ask
1459889441.576273,420.96,421.06
1459889442.577299,420.96,421.06
1459889443.578267,420.97,421.05
1459889444.579095,420.97,421.04
1459889445.581628,420.97,421.04
1459889446.581807,420.97,421.03
1459889447.582495,420.98,421.07
1459889448.582688,420.99,421.06
1459889449.582855,420.98,421.07
1459889450.582974,420.99,421.05
1459889451.583461,420.98,421.05
1459889452.58365,420.99,421.03
1459889453.584129,420.99,421.03
1459889454.586786,420.99,421.02
1459889455.588967,421.0,421.02
1459889456.592183,421.0,421.02
1459889457.592603,421.0,421.02
1459889458.593015,421.0,421.02
1459889459.594018,421.0,421.02
1459889460.598895,421.0,421.02
1459889461.599033,421.0,421.02
1459889462.599983,421.0,421.02
1459889463.601776,421.0,421.02
1459889464.605078,421.0,421.02
1459889465.605586,421.0,421.02
1459889466.606099,421.0,421.02
1459889467.606807,421.0,421.02
1459889468.607046,421.0,421.02
1459889469.610059,421.0,421.02
1459889470.611745,421.0,421.01
1459889471.611999,421.0,421.02
1459889472.612292,421.0,421.02
1459889473.612444,421.0,421.02
1459889474.612616,421.0,421.02
1459889475.612718,421.0,421.02
1459889476.613705,421.0,421.02
1459889477.614081,421.0,421.02
1459889478.614364,421.0,421.02
1459889479.617685,421.0,421.02
1459889480.622083,421.0,421.02
1459889481.625088,421.0,421.02
1459889482.628772,421.0,421.02
1459889483.630918,421.0,421.02
1459889484.631125,421.0,421.02
1459889485.632364,421.0,421.02
1459889486.632607,421.0,421.02
1459889487.632717,421.0,421.02
1459889488.632837,421.0,421.02
1459889489.63377,421.0,421.02
1459889490.634663,421.01,421.02
1459889491.635089,421.01,421.02
1459889492.63549,421.01,421.02
1459889493.635717,421.01,421.02
1459889494.635966,421.01,421.02
1459889495.636222,421.01,421.02
1459889496.638009,421.01,421.02
1459889497.640254,421.01,421.02
1459889498.640503,421.01,421.02
1459889499.640797,421.01,421.02
1459889500.640927,421.01,421.02
1459889501.641271,421.02,421.27
1459889502.641495,421.23,421.27
1459889503.641803,421.25,421.27
1459889504.64195,421.25,421.26
1459889505.642179,421.25,421.26
1459889506.642435,421.25,421.26
1459889507.644262,421.25,421.26
1459889508.644541,421.25,421.26
1459889509.645388,421.25,421.26
1459889510.645596,421.25,421.26
1459889511.64667,421.25,421.26
1459889512.647106,421.25,421.26
1459889513.65168,421.25,421.26
1459889514.656396,421.25,421.26
1459889515.657177,421.25,421.26
1459889516.659393,421.25,421.26
1459889517.660011,421.25,421.26
1459889518.660239,421.25,421.26
1459889519.660692,421.25,421.26
1459889520.660776,421.25,421.26
1459889521.662026,421.25,421.26
1459889522.664836,421.25,421.26
1459889523.667973,421.25,421.26
1459889524.670901,421.25,421.26
1459889525.672201,421.25,421.26
1459889526.676207,421.25,421.26
1459889527.676579,421.25,421.26
1459889528.67901,421.25,421.26
1459889529.681458,421.25,421.26
1459889530.681611,421.25,421.26
1459889531.682037,421.25,421.26
1459889532.683782,421.25,421.26
1459889533.683974,421.25,421.26
1459889534.686364,421.25,421.26
1459889535.686828,421.25,421.26
1459889536.690603,421.25,421.26
1459889537.692001,421.25,421.26
1459889538.692759,421.25,421.26
1459889539.696742,421.25,421.26
1459889540.697381,421.25,421.26
1459889541.698198,421.25,421.26
1459889542.698334,421.25,421.26
1459889543.699802,421.25,421.26
1459889544.701864,421.25,421.26
1459889545.703455,421.25,421.26
1459889546.708076,421.25,421.26
1459889547.712504,421.25,421.26
1459889548.712948,421.25,421.26
1459889549.713051,421.25,421.26
1459889550.713669,421.25,421.26
1459889551.717414,421.25,421.26
1459889552.718939,421.25,421.26
1459889553.721496,421.25,421.26
1459889554.722143,421.25,421.26
1459889555.722844,421.25,421.26
1459889556.724354,421.25,421.26
1459889557.726085,421.25,421.26
1459889558.731089,421.25,421.26
1459889559.73295,421.25,421.26
1459889560.733525,421.25,421.26
1459889561.733732,421.25,421.26
1459889562.734204,421.25,421.26
1459889563.73436,421.25,421.26
1459889564.73694,421.25,421.26
1459889565.740925,421.25,421.26
1459889566.743447,421.25,421.26
1459889567.744203,421.21,421.25
1459889568.747091,421.21,421.23
1459889569.748406,421.21,421.23
1459889570.750353,421.21,421.22
